"상태","업체명","식별번호","규격","2025-12-31","2026-01-02","2026-01-12","2026-01-29","변동액","계약종료일"
"SAME","주식회사 리퓨터","24510198","노트북컴퓨터, Lenovo, (CN)82JBS00300, Intel Celeron N5100(1.1GHz), 액세서리별도","555000","555000","",,"0","2026.07.31"
"DOWN","주식회사 리퓨터","25184410","노트북컴퓨터, Lenovo, (CN)82W5S05900, Intel N200(1.0GHz)","730000","730000","730000","694000","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","26024551","노트북컴퓨터, 삼성전자, (VN)XQ520QHA-KG21G, Intel N250(1.3GHz), 액세사리별도","866000","866000","866000","830000","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","26024550","노트북컴퓨터, 삼성전자, (VN)XQ520QHA-KG22G, Intel N250(1.3GHz), 액세사리별도","896000","896000","896000","860000","-36000","2026.07.31"
"SAME","엘지전자 주식회사","25631231","노트북컴퓨터, (주문자상표부착)엘지전자, (CN)15UG50T-GR55KN, Intel i5-1334U(1.3Ghz)","1017000","1017000","1017000",,"0","2026.07.31"
"DOWN","엘지전자 주식회사","25631230","노트북컴퓨터, (주문자상표부착)엘지전자, (CN)15UG50T-GP59KN, Intel i5-1334U(1.3Ghz)","1067000","1067000","1067000","1031000","-36000","2026.07.31"
"DOWN","엘지전자 주식회사","25364916","노트북컴퓨터, (주문자상표부착)엘지전자, (CN)15UG50S-GR55KN, Intel Core Ultra 5 125U(1.3Ghz), 액세서리별도","1207000","1207000","1207000","1171000","-36000","2026.07.31"
"SAME","주식회사 리퓨터","25446293","노트북컴퓨터, Lenovo, (CN)83GWA000KR, Intel Core 5 210H(1.6GHz), 액세서리별도","1200000","1200000","1200000",,"0","2026.07.31"
"DOWN","엘지전자 주식회사","25862648","노트북컴퓨터, (주문자상표부착)엘지전자, (CN)15UG55T-GR55KN, Intel Core Ultra 5 225U(1.5GHz)","1217000","1217000","1217000","1181000","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","26024624","노트북컴퓨터, (주문자상표부착)삼성전자, (CN)NT750XGJ-K5A82, Intel Core i5-1335U(1.3GHz), 액세사리별도","1226000","1226000","1226000","1190000","-36000","2026.07.31"
"DOWN","엘지전자 주식회사","25862650","노트북컴퓨터, (주문자상표부착)엘지전자, (CN)15UG55T-GP55KN, Intel Core Ultra 5 225U(1.5GHz)","1257000","1257000","1257000","1221000","-36000","2026.07.31"
"DOWN","엘지전자 주식회사","25631229","노트북컴퓨터, (주문자상표부착)엘지전자, (CN)15UG50S-GP59KN, Intel Core Ultra 5 125U(1.3GHz), 액세서리별도","1297000","1297000","1297000","1261000","-36000","2026.07.31"
"DOWN","엘지전자 주식회사","25862651","노트북컴퓨터, (주문자상표부착)엘지전자, (CN)15UG55T-GA59KN, Intel Core Ultra 5 225U(1.5GHz)","1297000","1297000","1297000","1261000","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","25829475","노트북컴퓨터, (주문자상표부착)삼성전자, (CN)NT750XGK-KG56P, Intel Core 5 120U(1.4GHz)","1300000","1300000","1300000","1264000","-36000","2026.07.31"
"DOWN","주식회사 리퓨터","25543571","노트북컴퓨터, Lenovo, (CN)83GWA006KR, Intel Core 5 210H(1.6GHz), 액세서리별도","1320000","1320000","1320000","1284000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25254741","노트북컴퓨터, 삼보컴퓨터, N5800-GD50-OU01, Intel Core i5 1335U(1.3GHz), 액세서리별도","1325000","1325000","1325000","1289000","-36000","2026.07.31"
"DOWN","엘지전자 주식회사","25862647","노트북컴퓨터, (주문자상표부착)엘지전자, (CN)15UG55T-GP59KN, Intel Core Ultra 5 225U(1.5GHz)","1337000","1337000","1337000","1301000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25254743","노트북컴퓨터, 삼보컴퓨터, N5800-GD50-OU02, Intel Core i5 1335U(1.3GHz), 액세서리별도","1375000","1375000","1375000","1339000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25254742","노트북컴퓨터, 삼보컴퓨터, N5800-GD50-PU01, Intel Core i5 1335U(1.3GHz), 액세서리별도","1375000","1375000","1375000","1339000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25254744","노트북컴퓨터, 삼보컴퓨터, N5800-GD50-PU02, Intel Core i5 1335U(1.3GHz), 액세서리별도","1425000","1425000","1425000","1389000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25254747","노트북컴퓨터, 삼보컴퓨터, N5800-GD50-OU04, Intel Core i5 1335U(1.3GHz), 액세서리별도","1425000","1425000","1425000","1389000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25254748","노트북컴퓨터, 삼보컴퓨터, N5800-GD50-PU04, Intel Core i5 1335U(1.3GHz), 액세서리별도","1455000","1455000","1455000","1419000","-36000","2026.07.31"
