상태,업체명,식별번호,규격,2025-12-17,2025-12-31,2026-01-29,2026-02-26,2026-03-25,2026-04-26,변동액,계약종료일
SAME,주식회사 테트라,23732215,"검색결과2,299건판매량순낮은가격순평점순최신등록순납품사례많은순",376700,376700,383100,383100,397100,397100,0,2029.09.30
SAME,주식회사 서버앤컴퓨터,24158944,"데스크톱컴퓨터, 서버앤컴퓨터, DECA-N3801, Intel Core i3 10100(3.6GHz)",508000,376700,544000,544000,575000,575000,0,2026.04.29
SAME,주식회사 서버앤컴퓨터,24589668,"데스크톱컴퓨터, 서버앤컴퓨터, DODE-N3812, Intel Core i3 12100(3.3GHz)",545000,508000,698600,698600,817400,817400,0,2026.04.29
SAME,주식회사 서버앤컴퓨터,24158946,"데스크톱컴퓨터, 서버앤컴퓨터, DECA-N3802, Intel Core i3 10100(3.6GHz)",546000,545800,605000,605000,698000,698000,0,2026.04.29
SAME,주식회사 서버앤컴퓨터,24158947,"데스크톱컴퓨터, 서버앤컴퓨터, DECA-N3811, Intel Core i3 10100(3.6GHz)",574000,550710,652600,652600,700000,700000,0,2026.04.29
SAME,주식회사 서버앤컴퓨터,24589669,"데스크톱컴퓨터, 서버앤컴퓨터, DODE-N3815, Intel Core i3 12100(3.3GHz)",600000,574000,799600,799600,964400,964400,0,2026.04.29
SAME,주식회사 기린,24481644,"데스크톱컴퓨터, 기린, KR161-S2108200, Intel Core i3 12100(3.3GHz)",607000,600000,754000,892600,892600,892600,0,2029.09.30
SAME,주식회사 서버앤컴퓨터,24158948,"데스크톱컴퓨터, 서버앤컴퓨터, DECA-N3812, Intel Core i3 10100(3.6GHz)",612000,607000,713600,713600,823000,823000,0,2026.04.29
SAME,주식회사 스마트인디지털,24502767,"데스크톱컴퓨터, 스마트인디지털, DLM3-HGBSNT, Intel Core i3 12100(3.3GHz)",613100,612000,731000,731000,843900,843900,0,2029.09.30
SAME,주식회사 서버앤컴퓨터,24158950,"데스크톱컴퓨터, 서버앤컴퓨터, DECA-N5802, Intel Core i5 10500(3.1GHz)",616000,613100,675000,675000,768000,768000,0,2026.04.29
SAME,주식회사 아이티에스,24814296,"데스크톱컴퓨터, 아이티에스, ITS-DS12-G3A21, Intel Core i3 12100(3.3GHz)",619000,619000,780000,780000,900000,900000,0,2028.02.12
SAME,주식회사 아이티에스,24814323,"데스크톱컴퓨터, 아이티에스, ITS-DT12-G3A21, Intel Core i3 12100(3.3GHz)",619000,616000,780000,780000,900000,900000,0,2028.02.12
SAME,주식회사 스마트인디지털,24499220,"데스크톱컴퓨터, 스마트인디지털, DLS3-HGESNT, Intel Core i3 12100(3.3GHz)",637600,622200,782100,782100,912000,912000,0,2029.09.30
SAME,위더스컴퓨터 주식회사,24487387,"데스크톱컴퓨터, 위더스컴퓨터, H6S-10N28, Intel Core i3 12100(3.3GHz)",644000,637600,776000,776000,922000,922000,0,2029.09.30
SAME,위더스컴퓨터 주식회사,24487390,"데스크톱컴퓨터, 위더스컴퓨터, H6T-10N28, Intel Core i3 12100(3.3GHz)",644000,644000,776000,776000,922000,922000,0,2029.09.30
SAME,주식회사 서버앤컴퓨터,24158952,"데스크톱컴퓨터, 서버앤컴퓨터, DECA-N5811, Intel Core i5 10500(3.1GHz)",644000,644000,722600,722600,770000,770000,0,2026.04.29
SAME,주식회사 서버앤컴퓨터,24589640,"데스크톱컴퓨터, 서버앤컴퓨터, DODE-T3812, Intel Core i3 12100(3.3GHz)",645000,644000,798600,798600,917400,917400,0,2026.04.29
SAME,주식회사 기린,24481635,"데스크톱컴퓨터, 기린, KR161-T2108200, Intel Core i3 12100(3.3GHz)",647000,645000,794000,932600,932600,932600,0,2029.09.30
SAME,주식회사 아이티에스,24814327,"데스크톱컴퓨터, 아이티에스, ITS-DT23H-VA11, Intel Core i3 12100(3.3GHz)",649000,647000,940000,940000,1100000,1100000,0,2028.02.12
SAME,주식회사 아이티에스,24814293,"데스크톱컴퓨터, 아이티에스, ITS-DS23H-VA11, Intel Core i3 12100(3.3GHz)",649000,649000,940000,940000,1100000,1100000,0,2028.02.12
SAME,주식회사 아이티에스,24814320,"데스크톱컴퓨터, 아이티에스, ITS-DS12-G4B20, Intel Core i5 12400(2.5GHz)",654000,649000,934000,934000,1074000,1074000,0,2028.02.12
SAME,(주)컴트리,24483654,"데스크톱컴퓨터, 컴트리, CSG-C1A8JB0, Intel Core i3 12100(3.3GHz)",658090,654000,787890,,,,0,2029.09.30
SAME,주식회사 스마트인디지털,24502771,"데스크톱컴퓨터, 스마트인디지털, DLM3-PGBSNT, Intel Core i3 12100(3.3GHz)",660100,658090,894200,894200,1041000,1041000,0,2029.09.30
SAME,주식회사 성주컴텍,25776557,"데스크톱컴퓨터, 성주컴텍, TD210-GRY550S1M, AMD/Ryzen5 5500GT(3.6GHz)",669500,660100,833800,,982400,982400,0,2029.09.30
SAME,위더스컴퓨터 주식회사,24487389,"데스크톱컴퓨터, 위더스컴퓨터, H6S-10N58, Intel Core i3 12100(3.3GHz)",673000,673000,815000,815000,966000,966000,0,2029.09.30
SAME,위더스컴퓨터 주식회사,24487392,"데스크톱컴퓨터, 위더스컴퓨터, H6T-10N58, Intel Core i3 12100(3.3GHz)",673000,669500,815000,815000,966000,966000,0,2029.09.30
SAME,주식회사 아이티에스,24814321,"데스크톱컴퓨터, 아이티에스, ITS-DS12-G4B50, Intel Core i5 12400(2.5GHz)",674000,673000,974000,974000,1124000,1124000,0,2028.02.12
SAME,주식회사 아이티에스,24814334,"데스크톱컴퓨터, 아이티에스, ITS-DT12-G4B50, Intel Core i5 12400(2.5GHz)",674000,674000,974000,974000,1124000,1124000,0,2028.02.12
SAME,주식회사 아이티에스,24814294,"데스크톱컴퓨터, 아이티에스, ITS-DS12-G4A21, Intel Core i5 12400(2.5GHz)",679000,679000,854000,854000,974000,974000,0,2028.02.12
SAME,주식회사 아이티에스,24814328,"데스크톱컴퓨터, 아이티에스, ITS-DT12-G4A21, Intel Core i5 12400(2.5GHz)",679000,674000,854000,854000,974000,974000,0,2028.02.12
SAME,위더스컴퓨터 주식회사,24489401,"데스크톱컴퓨터, 위더스컴퓨터, A5S-56N2H18, AMD RYGEN5 5600G(3.9GHz)",679310,679000,770000,770000,926000,926000,0,2029.09.30
SAME,주식회사 에이치케이시스템,25769851,"데스크톱컴퓨터, 에이치케이시스템, HMAB-N6WC0PC, AMD Ryzen5 5500GT(3.6GHz)",681100,681100,809000,809000,942100,942100,0,2029.09.30
SAME,주식회사 에이치케이시스템,25770788,"데스크톱컴퓨터, 에이치케이시스템, HSAB-N6WA0PB, AMD Ryzen5 5500GT(3.6GHz)",681100,679310,809000,809000,942100,942100,0,2029.09.30
SAME,주식회사 서버앤컴퓨터,24158951,"데스크톱컴퓨터, 서버앤컴퓨터, DECA-N5812, Intel Core i5 10500(3.1GHz)",682000,681100,783600,783600,893000,893000,0,2026.04.29
SAME,주식회사 기린,24481643,"데스크톱컴퓨터, 기린, KR161-S2108210, Intel Core i3 12100(3.3GHz)",682500,682000,885500,1095700,1095700,1095700,0,2029.09.30
SAME,(주)유투,25000870,"데스크톱컴퓨터, 유투, AT5C2-510, AMD Ryzen 5 5600G(3.9GHz)",683500,682500,970800,970800,1193800,1193800,0,2029.09.30
SAME,사단법인 나너우리,24594818,"데스크톱컴퓨터, 나너우리, IYU-M23I7, Intel Core i3 12100(3.3GHz)",684000,684000,794000,908000,908000,908000,0,2029.09.30
SAME,사단법인 나너우리,24594850,"데스크톱컴퓨터, 나너우리, IYU-S23I7, Intel Core i3 12100(3.3GHz)",684000,683500,794000,908000,908000,908000,0,2029.09.30
SAME,주식회사 스마트인디지털,24499224,"데스크톱컴퓨터, 스마트인디지털, DLS3-PGESNT, Intel Core i3 12100(3.3GHz)",684600,684000,945300,945300,1109100,1109100,0,2029.09.30
SAME,주식회사 아이티에스,25155323,"데스크톱컴퓨터, 아이티에스, ITS-DT13-G3A50, Intel Core i3 13100(3.4GHz)",691000,684600,851000,851000,961000,961000,0,2028.02.12
SAME,주식회사 기린,25308414,"데스크톱컴퓨터, 기린, KR161-S3108300, Intel Core i3-13100(3.0GHz)",691200,691000,,1033100,1033100,1033100,0,2029.09.30
SAME,(주)컴트리,25797487,"데스크톱컴퓨터, 컴트리, CN4-E11-H0002, Intel Core i3 14100(3.5GHz)",691800,691200,764400,,,,0,2029.09.30
SAME,(주)컴트리,24483637,"데스크톱컴퓨터, 컴트리, CSG-C5D1LB0, Intel Core i5 12500(3.0GHz)",692400,691800,907100,,,,0,2029.09.30
SAME,주식회사 성주컴텍,25776522,"데스크톱컴퓨터, 성주컴텍, SD110-GRY550S1M, AMD/Ryzen5 5500GT(3.6GHz)",696500,692400,860800,,1009400,1009400,0,2029.09.30
SAME,주식회사 인텍,25319740,"데스크톱컴퓨터, 인텍, IT176-S3416300, Intel Core i5-13400(2.5GHz)",698300,,,,,,0,2029.03.14
SAME,주식회사 서버앤컴퓨터,24589641,"데스크톱컴퓨터, 서버앤컴퓨터, DODE-T3815, Intel Core i3 12100(3.3GHz)",700000,696500,899600,899600,1064400,1064400,0,2026.04.29
SAME,주식회사 테트라,24890376,"데스크톱컴퓨터, 테트라, T-MDT315S8, Intel Core i3 13100(3.4GHz)",703600,700000,,,,,0,2029.09.30
SAME,(주)컴트리,25797488,"데스크톱컴퓨터, 컴트리, CN4-E41-H0001, Intel Core i3 14100(3.5GHz)",708800,703600,789900,,,,0,2029.09.30
SAME,주식회사 아이티에스,24814291,"데스크톱컴퓨터, 아이티에스, ITS-DS12-G4B21, Intel Core i5 12400(2.5GHz)",709000,708800,1014000,1014000,1174000,1174000,0,2028.02.12
SAME,주식회사 아이티에스,24814333,"데스크톱컴퓨터, 아이티에스, ITS-DT12-G4B21, Intel Core i5 12400(2.5GHz)",709000,709000,1014000,1014000,1174000,1174000,0,2028.02.12
SAME,주식회사 인텍,25319766,"데스크톱컴퓨터, 인텍, IT176-T3416300, Intel Core i5 13400(2.5GHz)",713800,709000,,,,,0,2029.03.14
SAME,위더스컴퓨터 주식회사,24489402,"데스크톱컴퓨터, 위더스컴퓨터, A5S-56N2H116, AMD RYGEN5 5600G(3.9GHz)",714000,714000,835000,835000,1017000,1017000,0,2029.09.30
SAME,위더스컴퓨터 주식회사,24489404,"데스크톱컴퓨터, 위더스컴퓨터, A5T-56N2H116, AMD RYGEN5 5600G(3.9GHz)",714000,713800,835000,835000,1017000,1017000,0,2029.09.30
SAME,주식회사 비엔피,25031909,"데스크톱컴퓨터, 비엔피, B3S-3T8S2H1, Intel Core i3 13100(3.4GHz)",716300,716200,841300,992300,992300,992300,0,2029.09.30
