"상태","업체명","식별번호","규격","2025-12-17","2025-12-18","2025-12-22","변동액","계약종료일"
"SAME","주식회사 컴버스테크","24691075","인터랙티브화이트보드, 컴버스테크, NZ86S, 217.4cm, IR센서/손/모든물체/터치펜/LED","3100000","3100000","3100000","0","2027.01.31"
"SAME","이솔정보통신 주식회사","25074104","인터랙티브화이트보드, 이솔정보통신, HCB-5186G, 217.4cm, IR센서/손/도구/LED","3200000","3200000","3200000","0","2027.01.31"
"SAME","(주)가이드삼정","25582919","인터랙티브화이트보드, 가이드삼정, GS-86S13T, 217.4cm, IR센서/손/도구/LED","3200000","3200000","3200000","0","2027.01.31"
"SAME","주식회사 컴버스테크","24766802","인터랙티브화이트보드, 컴버스테크, ID86PT, 217.6cm, IR센서/손/모든물체/터치펜/LED","3200000","3200000","3200000","0","2027.01.31"
"SAME","삼호글로벌 주식회사","25307066","인터랙티브화이트보드, 삼호글로벌, SHG-H86S, 218cm, IR센서/손/모든물체/터치펜/LED","3200000","3200000","3200000","0","2026.04.14"
"SAME","이솔정보통신 주식회사","25074111","인터랙티브화이트보드, 이솔정보통신, BR-86UHD-Q1G, 218cm, IR센서/손/도구/LED","3400000","3400000","3400000","0","2027.01.31"
"SAME","이솔정보통신 주식회사","25316341","인터랙티브화이트보드, 이솔정보통신, HCB-5186C, 217.4cm, IR센서/손/도구/LED","3400000","3400000","3400000","0","2027.01.31"
"SAME","주식회사 웰메이드콘텐츠","25294969","인터랙티브화이트보드, 웰메이드콘텐츠, WM-YL6X13-86, 218.4cm, IR센서/손/도구/LED","3400000","3400000","3400000","0","2027.01.31"
"SAME","주식회사 한국크레아","25141462","인터랙티브화이트보드, 한국크레아, HCB-CREMETA860Z35, 217.4cm, IR센서/손/도구/LED","3400000","3400000","3400000","0","2027.01.31"
"SAME","주식회사 웰메이드콘텐츠","25748379","인터랙티브화이트보드, 웰메이드콘텐츠, WM-YL6X1332-86, 218.4cm, IR센서/손/도구/IPS LED","3400000","3400000","3400000","0","2027.01.31"
"SAME","(주)가이드삼정","25596975","인터랙티브화이트보드, 가이드삼정, GS-86PHE, 217.8cm, IR센서/손/도구/LED","3400000","3400000","3400000","0","2027.01.31"
"SAME","(주)가이드삼정","25596971","인터랙티브화이트보드, 가이드삼정, GS-86PCE, 217.8cm, IR센서/손/도구/LED","3400000","3400000","3400000","0","2027.01.31"
"SAME","(주)가이드삼정","25596972","인터랙티브화이트보드, 가이드삼정, GS-86PCTE, 217.8cm, IR센서/손/도구/LED","3400000","3400000","3400000","0","2027.01.31"
"SAME","(주)가이드삼정","25596977","인터랙티브화이트보드, 가이드삼정, GS-86PHCE, 217.8cm, IR센서/손/도구/LED","3400000","3400000","3400000","0","2027.01.31"
"SAME","(주)가이드삼정","25582923","인터랙티브화이트보드, 가이드삼정, GS-86S13CT, 217.4cm, IR센서/손/도구/LED","3400000","3400000","3400000","0","2027.01.31"
"SAME","(주)가이드삼정","25596968","인터랙티브화이트보드, 가이드삼정, GS-86PTE, 217.8cm, IR센서/손/도구/LED","3400000","3400000","3400000","0","2027.01.31"
"SAME","(주)가이드삼정","25596967","인터랙티브화이트보드, 가이드삼정, GS-86PE, 217.8cm, IR센서/손/도구/LED","3400000","3400000","3400000","0","2027.01.31"
"SAME","주식회사 오맥스","25332201","인터랙티브화이트보드, 오맥스, ALEX 86, 217.4cm, IR센서/손/도구/QLED","3400000","3400000","3400000","0","2027.01.31"
